check	status	exit_code	evidence
stock_rocq90_environment	PASS	0	scripts/phase2_check_environment.sh
statement_interfaces_no_find_import	PASS	0	logs/phase4/no-find/ImportedSearchArg.log
subadditivity_nat_correspondence	PASS	0	logs/phase4/no-find/SubadditivityNatCorrespondence.log
searcharg_definition_certificate	PASS	0	logs/phase4/no-find/SearchArgDefinitionCertificate.log
searcharg_statement_certificate	FAIL	1	logs/phase4/no-find/SearchArgStatementCertificate.log
searcharg_assumption_audit	BLOCKED	BLOCKED	SearchArgStatementCertificate did not compile
nat_find_stock_import	EXPECTED_FAILURE	1	logs/phase4/nat-find/stock-import.log
no_find_rocqchk_type_in_type	PASS_NONE	0	logs/phase4/no-find/rocqchk-imported-searcharg.log
no_find_rocqchk_unsafe_fixpoints	PASS_NONE	0	logs/phase4/no-find/rocqchk-imported-searcharg.log
no_find_rocqchk_assumed_positivity	PASS_NONE	0	logs/phase4/no-find/rocqchk-imported-searcharg.log
no_find_rocqchk_additional_axioms	PASS_NONE	0	logs/phase4/no-find/rocqchk-imported-searcharg.log
full_searcharg_certification	BLOCKED	BLOCKED	compiled Nat.find necessarily restores Acc in the current artifact
