class	destination	origin	sha256_or_identity
source_snapshot	source	/Users/shunqiwang/CityuHK/Research/ProsaRocqCompatibilityExperiment/prosa-v0.6@414e66760333eaa4ef78c685bcf53291c527a548	git-tree:7d7e94c731f7eefde4ca738310d4cafdd7bebdf0;archive-sha256:ef07835e205fa673259d872a99c3813b9a6b3d4f3824636b1f2e5c9ce59fcf4b
source	source/util/tactics.v	/Users/shunqiwang/CityuHK/Research/ProsaRocqCompatibilityExperiment/prosa-v0.6@414e66760333eaa4ef78c685bcf53291c527a548:util/tactics.v	b55a2ee4f5efbd6e8593b0c95d6ae42414517a4f2cc0f4ccf90488371c2a7eff
source	source/util/seqset.v	/Users/shunqiwang/CityuHK/Research/ProsaRocqCompatibilityExperiment/prosa-v0.6@414e66760333eaa4ef78c685bcf53291c527a548:util/seqset.v	85f90ee3725f452c81cffd963050bca3bcdc2357cd49cca8f6abb39a0b9ab7c2
source	source/util/search_arg.v	/Users/shunqiwang/CityuHK/Research/ProsaRocqCompatibilityExperiment/prosa-v0.6@414e66760333eaa4ef78c685bcf53291c527a548:util/search_arg.v	7bc98acacf5ff1a8d312f1bb6689046d2d21ce8d44b12f8a288f0ccb6106e122
source	source/util/list.v	/Users/shunqiwang/CityuHK/Research/ProsaRocqCompatibilityExperiment/prosa-v0.6@414e66760333eaa4ef78c685bcf53291c527a548:util/list.v	7bb5784dc312aef4ec80b00314a36f938a20e29ed1e7d68475b9c2dca9cada6a
source	source/util/div_mod.v	/Users/shunqiwang/CityuHK/Research/ProsaRocqCompatibilityExperiment/prosa-v0.6@414e66760333eaa4ef78c685bcf53291c527a548:util/div_mod.v	7705c2f251bd96daab96e891b145ea8ca839b269c6f67f1bc954ba0219883b32
importer_base	importer/rocq-lean-import	../Validation/.work/tooling/rocq-lean-import	git-commit:546979bfd55b94288abfb72583a534b0136d282d
importer_patch	importer/patches/rocq-lean-import.patch	../Validation/tooling/patches/rocq-lean-import.patch	0b3f5ad7903d43ee211f77d92a814ab799d0392bd6848d6eec5906a16b5de3f4
importer_patch	importer/patches/rocq-9.0-api.patch	experiment-local minimal Rocq-9.0 API port	18cc125a349449c09ed0689a301992db8d57d277036aab58486502711fef39a2
certificate_common	validation/certificates/common/BigcatCorrespondence.v	../Validation/certificates/common/BigcatCorrespondence.v	9fe33d6131f15066bf7d9064d001c86c5fbce40cb95800a99846a3fb38e34c58
certificate_common	validation/certificates/common/BigopCorrespondence.v	../Validation/certificates/common/BigopCorrespondence.v	e084bca4ecadde7df6e63b23f2b9540535001af92efed92d322463bec88c6d69
certificate_common	validation/certificates/common/EqTypeCorrespondence.v	../Validation/certificates/common/EqTypeCorrespondence.v	19763807e4b62039164666c180dc0d82078685e7f2ba228f08650eb5c189596c
certificate_common	validation/certificates/common/LogicalRelation.v	../Validation/certificates/common/LogicalRelation.v	08fb13bbc862f346523a056f22687580c5b05f3231d3d94083328deaddcabc04
certificate_common	validation/certificates/common/MinmaxCorrespondence.v	../Validation/certificates/common/MinmaxCorrespondence.v	7dc737105699ca152799108dfaeb11409903d4412db5c42a9c5860e4b4f9b4be
certificate_common	validation/certificates/common/NatSubCorrespondence.v	../Validation/certificates/common/NatSubCorrespondence.v	7d8700c52d59ff709996d96f2e9d3bd88e76d4c3914808fbeaf4866a68f22d57
certificate_common	validation/certificates/common/PoetCorrespondence.v	../Validation/certificates/common/PoetCorrespondence.v	62295b796ecdd3e3c324958023c754f95e3e1f0e64905b23b05d290d6857d570
certificate_common	validation/certificates/common/PropSPropFoundation.v	../Validation/certificates/common/PropSPropFoundation.v	ba5c016b0fc2818bab8d9cff63405d58174f6ae5d635f515e76ce8d303327099
certificate_common	validation/certificates/common/RelListCorrespondence.v	../Validation/certificates/common/RelListCorrespondence.v	9f07122ee43af2e6645903ca49bea364740f64259c8d81eca04c5f05ebcb70ad
certificate_common	validation/certificates/common/SeqsetCorrespondence.v	../Validation/certificates/common/SeqsetCorrespondence.v	6ab4faaa41d510c2c4cb9757a6bb7d3847ed177151c3bd8be183a71520840c98
certificate_common	validation/certificates/common/SetoidCorrespondence.v	../Validation/certificates/common/SetoidCorrespondence.v	706384e35718b52a0f055f279ccb5dc4607a393cae649d32d0acbf899f006f6c
certificate_common	validation/certificates/common/SubadditivityNatCorrespondence.v	../Validation/certificates/common/SubadditivityNatCorrespondence.v	99924c979b324df090c2f27fd71d373558ac6a6a3ea0349edf8930276489eba4
certificate_common	validation/certificates/common/SumIntervalCorrespondence.v	../Validation/certificates/common/SumIntervalCorrespondence.v	04c89c3090d89760625578a53a8db5e32db0f39a30c729aef72e255fca08d1b3
certificate_common	validation/certificates/common/SumSequenceCorrespondence.v	../Validation/certificates/common/SumSequenceCorrespondence.v	98efd3d59139179409f5187b05c268533fe7514ccfa70679d05d9c550752ea50
certificate_common	validation/certificates/common/SupremumTheoremCorrespondence.v	../Validation/certificates/common/SupremumTheoremCorrespondence.v	ce43ceeab07a1464547cb6ca0e5e8ad90a52ab9eed4071d5095861f93417dd78
certificate_common	validation/certificates/common/TypeSPropRelation.v	../Validation/certificates/common/TypeSPropRelation.v	41ffa07fa7a6999e6c9eefe31f57f04b15fb08182d95dfdf744caa31e9a379da
certificate_common	validation/certificates/common/UnitGrowthCorrespondence.v	../Validation/certificates/common/UnitGrowthCorrespondence.v	8ceb5a0209b983aff5e1afc87e9a834f77504fae1a3615a01a6c6fdcb8f149f5
certificate_smoke	validation/certificates/smoke/FoundationTimeAssumptionAudit.v	experiment-local smoke/audit harness	46eb6d8e5bbcec6f85302f8250c444a7291262533bbc4e383787ea4f43f43518
certificate_smoke	validation/certificates/smoke/FoundationTimeCertificate.v	../Validation/certificates/foundation_slice_1/FoundationTimeCertificate.v	ed21d40e8159167b155aaa39e9d4b756c468f91c8c224cc1bd1472cdc69bc9b8
certificate_smoke	validation/certificates/smoke/ListLast0ConsAudit.v	experiment-local smoke/audit harness	0fe4d993f325f12d9054d30619712f10237f3951e00ab1ec929d2132da0d3307
certificate_smoke	validation/certificates/smoke/ListLastCertificate.v	../Validation/certificates/utility_foundation/ListLastCertificate.v	2b92591b9a2a6e19df66741721953e74fd737a78f6c703825dd4711894c8fe93
certificate_smoke	validation/certificates/smoke/ListSimpleAssumptionAudit.v	../Validation/certificates/utility_foundation/ListSimpleAssumptionAudit.v	c8ae73941ee4fb3b7c612d4e5fef86c79c8a6aed7fb5d2e6d04cc2e9bb9b16ab
certificate_smoke	validation/certificates/smoke/ListSimpleCertificate.v	../Validation/certificates/utility_foundation/ListSimpleCertificate.v	904e450d4bb0633b069f64c226f609ef51046dcd8b9192ac6d55729740729385
certificate_smoke	validation/certificates/smoke/SearchArgAssumptionAudit.v	../Validation/certificates/utility_foundation/SearchArgAssumptionAudit.v	1f90225b2ebf0de0893a82a6a7e3ea015a19754143e0c7f2968e04a7c0f51430
certificate_smoke	validation/certificates/smoke/SearchArgDefinitionCertificate.v	../Validation/certificates/utility_foundation/SearchArgDefinitionCertificate.v	30758c3b1c30df10c85c43d227caff54e469f7a0136ddcde0d60fa725428dfb8
certificate_smoke	validation/certificates/smoke/SearchArgStatementCertificate.v	../Validation/certificates/utility_foundation/SearchArgStatementCertificate.v	a5324b015323ee80c9735ec136e931603690b3f9a09f3dbbf2851393fbc77288
certificate_smoke	validation/certificates/smoke/TacticsAssumptionAudit.v	experiment-local smoke/audit harness	5b5171020f367f6e68da3ee4438d6e1a38b0ebd2e05388a1c5360fc64525088a
certificate_smoke	validation/certificates/smoke/TacticsCertificate.v	../Validation/certificates/foundation_slice_2/TacticsCertificate.v	a638d07db039f41ecf2bbb6a0d3a8657b06767b39caae347c5181cec5b192c52
certificate_smoke	validation/certificates/smoke/tactics_assumption_config.json	experiment-local smoke/audit harness	3db763b30b8c50a049b3c2e81b195cf74e99009493b1030642f6f02f481b9377
generated_source	validation/generated-source/GeneratedSearchArgSource.v	../Validation/.work/runs/utility_search_arg.EniSWx/source/GeneratedSearchArgSource.v	fa04bcc02cd4dc2638692b0fd704417e1e0f0496f0d2da09c9e01e5bae7774ad
generated_source	validation/generated-source/GeneratedListSimpleSource.v	../Validation/.work/list_cache_corruption_test_20260921/source/GeneratedListSimpleSource.v	3f0befdf641be17bb3e56d2c9d07e25d2992e101dd14a6436340a3a295d77c5b
generated_source	validation/generated-source/GeneratedListLastSource.v	../Validation/.work/list_snapshots/59d6a91640446026d494ea4a2f647bbcbdf3283aa97deded47e74351225308ff/source/GeneratedListLastSource.v	984bddaee472ee0eac116bd76d06f90347ee4ce731c652a00a1044ae7fc54d58
lean_export	validation/imported/Time.out	../Validation/imported/foundation_slice_1/Time.out	8b2354769dc908175b0386f4fb1b2113be48db89164e384fe34b5539264e115a
import_wrapper	validation/imported/ImportedTime.v	../Validation/imported/foundation_slice_1/ImportedTime.v	c84571bffc0ae914224a09511bed6bac1b2a5b63f4194e7bfded636e6ef43576
lean_export	validation/imported/Tactics.out	../Validation/imported/foundation_slice_2_closure/Tactics.out	34140e14c5508cedba1b3e5849c89b51e5ce81c8152f3a161d065bfcfaeafadb
import_wrapper	validation/imported/ImportedTactics.v	../Validation/imported/foundation_slice_2/ImportedTactics.v	dee1ace3d79a8e6246d4fb3b9db11d32549f44d969f664f58080b8b4add2c286
lean_export	validation/imported/Subadditivity.out	../Validation/imported/foundation_slice_2_closure/Subadditivity.out	9ca38bbffc3c1b052bb60aa3a2a091fd15aeb531f195124c604f970ca8243b50
import_wrapper	validation/imported/ImportedSubadditivity.v	../Validation/imported/foundation_slice_2/ImportedSubadditivity.v	67f069ec868b34fb295e7784d1300b10c42aa1ef353d2e1fd0884bf91726efe8
